text,file_path,file_name,file_type,file_size,creation_date,last_modified_date,fecha_publicacion_boe,orden,real_decreto,ministerios,pdf_id,chunk_id,num_tokens,num_caracteres,label
# Universidad Europea,C:\Users\Jorge\Desktop\Boe ChatBot\backend\data\boe\uploads\Permiso (1).pdf,Permiso (1).pdf,application/pdf,107618,2024-10-11,2024-10-11,data-boe-uploads,[],[],[],92866d51-5ff3-43bb-b4aa-58cc916d6158,91089a36-5ed1-58ab-ad7b-c93ee8fc49bf,4,21,"['12', '25', '21']"
" # PERMISO DE DIVULGACIÓN  D / Dª [Rellenar] Jorge Resino Martin, con el expediente número 22396361, estudiante de Máster de Formación Permanente en Inteligencia Artificial  Permite la divulgación: SI ✔ NO",C:\Users\Jorge\Desktop\Boe ChatBot\backend\data\boe\uploads\Permiso (1).pdf,Permiso (1).pdf,application/pdf,107618,2024-10-11,2024-10-11,data-boe-uploads,[],[],[],92866d51-5ff3-43bb-b4aa-58cc916d6158,eab82e13-155e-50a3-8d43-c4c356fd575f,62,205,"['9', '10', '12']"
,C:\Users\Jorge\Desktop\Boe ChatBot\backend\data\boe\uploads\Permiso (1).pdf,Permiso (1).pdf,application/pdf,107618,2024-10-11,2024-10-11,data-boe-uploads,[],[],[],92866d51-5ff3-43bb-b4aa-58cc916d6158,4ebd0208-8328-5d69-8c44-ec50939c0967,0,0,"['999', '999', '999']"
En caso de respuesta afirmativa PERMITE que el trabajo de su autoría titulado:,C:\Users\Jorge\Desktop\Boe ChatBot\backend\data\boe\uploads\Permiso (1).pdf,Permiso (1).pdf,application/pdf,107618,2024-10-11,2024-10-11,data-boe-uploads,[],[],[],92866d51-5ff3-43bb-b4aa-58cc916d6158,ee9554cf-216a-5fde-97b5-b2a414bb6a95,19,78,"['34', '21', '25']"
 # Procesamiento del BOE mediante una arquitectura compuesta por un sistema de RAG y en un agente ,C:\Users\Jorge\Desktop\Boe ChatBot\backend\data\boe\uploads\Permiso (1).pdf,Permiso (1).pdf,application/pdf,107618,2024-10-11,2024-10-11,data-boe-uploads,[],[],[],92866d51-5ff3-43bb-b4aa-58cc916d6158,9318a805-341c-5623-8cf9-1d56605f2803,27,98,"['25', '26', '24']"
"pueda ser exhibido en los soportes y canales (radio, televisión, Internet, prensa y demás) que la Universidad Europea de Madrid estime necesario para la promoción profesional de sus exalumnos siempre que se cite su autoría. También permite difundir el citado proyecto a través del Repositorio de Trabajos Fin de Estudios TITULA. ",C:\Users\Jorge\Desktop\Boe ChatBot\backend\data\boe\uploads\Permiso (1).pdf,Permiso (1).pdf,application/pdf,107618,2024-10-11,2024-10-11,data-boe-uploads,[],[],[],92866d51-5ff3-43bb-b4aa-58cc916d6158,37c5a476-64b5-5c61-931b-bf8b32c3e976,85,329,"['25', '26', '12']"
Fecha y firma del autor: 24/09/2024 ,C:\Users\Jorge\Desktop\Boe ChatBot\backend\data\boe\uploads\Permiso (1).pdf,Permiso (1).pdf,application/pdf,107618,2024-10-11,2024-10-11,data-boe-uploads,[],[],[],92866d51-5ff3-43bb-b4aa-58cc916d6158,47c55ed8-06e7-5cdc-9da4-873b0af1b856,14,36,"['17', '14', '34']"
"# Información para los autores  La finalidad principal del Repositorio TITULA de la Universidad Europea de Madrid, es recopilar y dar mayor visibilidad a los Trabajos Fin de Estudios. En los trabajos realizados en grupo, es obligatorio que cada autor cumplimente de forma individual un permiso de divulgación.  Todas las citas de otras obras que contiene el trabajo están reseñadas adecuadamente tal y como se dispone en el artículo 32 de la Ley de Propiedad Intelectual. El autor preserva los derechos de explotación y de uso, pudiendo publicar su trabajo en otros soportes, revistas, editoriales, etc. Los proyectos incluidos en el Repositorio dispondrán de licencias Creative Commons del tipo “Reconocimiento -no comercial - sin obra derivada” de modo que los usuarios tendrán que citar y reconocer los créditos de los trabajos, no se podrán utilizar para fines comerciales y no se podrán alterar, transformar o generar una obra derivada a partir de los mismos. ",C:\Users\Jorge\Desktop\Boe ChatBot\backend\data\boe\uploads\Permiso (1).pdf,Permiso (1).pdf,application/pdf,107618,2024-10-11,2024-10-11,data-boe-uploads,[],[],[],92866d51-5ff3-43bb-b4aa-58cc916d6158,440bb391-62f2-51c3-a3df-b3898095ede2,238,965,"['12', '25', '26']"
Solo se mostrarán en acceso abierto aquellos trabajos que tengan el permiso de divulgación del autor y cumplan con los criterios de calidad marcados por la Universidad. ,C:\Users\Jorge\Desktop\Boe ChatBot\backend\data\boe\uploads\Permiso (1).pdf,Permiso (1).pdf,application/pdf,107618,2024-10-11,2024-10-11,data-boe-uploads,[],[],[],92866d51-5ff3-43bb-b4aa-58cc916d6158,84f2575b-49b1-5189-9bc7-339b6df7714d,40,169,"['12', '25', '9']"
Acepto que mis datos sean tratados conforme a la Política de privacidad y protección de datos de la Universidad Europea (disponible en: https://universidadeuropea.es/politica-de-privacidad).,C:\Users\Jorge\Desktop\Boe ChatBot\backend\data\boe\uploads\Permiso (1).pdf,Permiso (1).pdf,application/pdf,107618,2024-10-11,2024-10-11,data-boe-uploads,[],[],[],92866d51-5ff3-43bb-b4aa-58cc916d6158,591f6338-e5f7-585a-851f-25405a9ec29f,48,190,"['25', '17', '34']"
